25
0,0,0,0,10,5,0,0,0,0,8,0,1,0,0,15,6,13,0,9,0,11,22,0,7
0,0,12,0,0,23,0,6,0,0,0,19,0,20,0,0,5,16,4,17,0,14,18,0,0
16,8,5,0,0,0,0,20,0,0,22,0,11,3,25,21,18,0,24,0,17,0,0,6,23
3,0,0,9,22,13,0,2,0,0,23,0,17,0,0,1,0,0,8,0,0,12,0,0,0
0,2,14,17,0,0,0,7,0,1,0,0,0,0,12,0,0,0,10,22,21,5,15,0,4
0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,11,0,0,19,0
0,4,13,0,6,0,22,0,11,0,21,0,0,7,0,0,20,25,0,12,0,16,24,0,0
0,11,0,0,9,15,0,0,2,0,0,0,0,1,16,0,24,7,3,0,0,17,0,4,0
22,0,7,16,0,20,0,18,0,0,14,13,0,0,11,0,1,0,0,0,8,15,0,3,10
0,17,23,18,2,0,0,8,13,6,0,10,20,19,0,0,0,0,0,0,0,9,0,0,0
0,0,9,6,14,7,0,4,0,12,0,0,0,18,0,0,22,11,0,0,20,0,0,23,2
1,0,0,0,11,0,21,0,0,9,2,22,0,8,10,0,0,17,18,0,25,6,16,24,3
23,0,0,0,0,17,5,19,0,0,0,7,3,0,0,0,25,0,13,0,1,4,14,0,15
0,0,3,10,0,1,0,0,0,0,0,6,0,17,0,4,0,0,15,0,0,0,0,9,0
2,15,0,7,0,0,0,24,0,0,11,1,12,0,9,0,16,0,19,23,22,0,13,21,0
0,6,17,3,0,0,0,0,0,0,0,2,0,0,13,16,0,21,0,15,9,0,0,0,0
0,25,0,11,5,18,15,22,4,0,1,9,14,24,8,0,0,10,7,0,6,0,0,0,12
0,10,0,4,24,0,0,3,0,25,19,0,6,0,0,23,0,2,0,5,0,18,0,0,0
0,0,0,2,0,0,17,13,1,0,7,12,0,10,0,0,19,0,0,8,0,0,0,16,5
9,22,0,0,0,0,23,0,0,24,17,4,25,0,5,0,12,0,1,3,0,0,10,0,13
0,0,0,5,0,6,0,0,0,0,0,20,16,21,0,18,0,24,23,25,19,1,7,13,17
0,0,16,12,1,0,0,0,17,0,0,23,24,5,0,6,0,0,0,21,15,0,4,0,0
0,23,0,22,21,0,0,0,0,0,0,3,0,0,0,11,15,12,0,19,0,24,0,0,16
15,3,0,0,0,22,19,0,0,14,18,0,8,0,0,13,10,0,5,0,0,0,0,25,21
17,0,0,0,19,0,0,0,25,13,10,0,2,6,0,0,0,9,20,0,23,0,0,12,8
