16
0,0,0,0,0,16,11,14,0,13,0,0,0,1,7,15
5,0,0,15,0,9,0,8,0,0,11,12,0,0,0,0
8,0,0,10,6,0,15,0,0,2,7,16,13,0,0,0
3,7,0,0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,0,0,0,6,0,1,16,0,0,2,15,0,8,0
0,0,1,9,8,15,2,0,3,0,14,10,5,0,16,0
0,0,15,4,0,0,16,0,0,5,0,0,0,12,0,0
0,0,0,11,0,0,0,10,0,0,6,1,0,0,0,2
10,0,9,6,16,0,0,0,0,4,0,14,0,7,0,8
11,12,0,0,0,0,9,6,7,8,2,0,16,0,0,0
0,0,0,0,0,2,0,13,12,0,10,0,0,0,4,0
0,4,0,14,0,0,12,0,9,0,0,0,0,0,0,0
7,0,0,12,0,14,0,0,6,0,8,0,4,0,5,0
0,9,6,3,13,10,0,0,0,0,0,0,0,14,2,0
15,0,10,0,1,0,6,0,0,0,5,0,0,0,12,9
14,0,11,0,2,0,0,0,13,0,0,9,0,8,0,0
