16
12,0,7,8,0,5,15,0,3,0,0,11,14,0,13,10
0,0,4,0,0,7,0,0,0,13,0,16,11,0,0,2
11,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0
0,0,5,0,0,0,9,16,0,0,0,0,0,0,0,8
0,4,0,0,12,8,0,0,0,15,0,7,9,3,0,0
0,0,15,3,7,13,0,0,0,0,16,14,12,0,0,4
9,16,0,7,0,0,5,14,0,3,0,0,0,0,8,0
5,0,0,14,0,16,3,0,2,4,11,8,13,0,10,0
0,8,0,0,0,0,0,0,12,0,0,0,0,10,14,5
0,0,14,0,0,0,0,0,0,8,0,0,16,0,15,0
0,0,11,0,9,0,16,0,0,6,7,0,0,0,12,13
0,0,0,13,0,11,12,0,0,0,0,15,7,2,4,0
7,11,0,9,0,12,1,0,0,0,5,0,0,6,3,0
14,0,13,15,16,0,7,0,11,0,0,0,0,8,0,0
0,0,0,0,15,0,11,0,0,14,0,0,5,0,0,0
0,6,3,5,10,9,13,0,0,12,0,0,15,0,0,0
