16
0,16,0,0,14,6,0,2,0,3,1,0,0,0,0,9
13,5,0,9,0,0,0,0,15,0,0,0,1,7,0,0
0,14,0,0,0,0,0,0,7,0,11,0,0,0,0,0
0,15,12,10,0,0,4,7,0,0,0,0,0,8,0,6
12,0,0,14,0,0,16,0,0,11,0,2,0,9,3,4
0,0,0,16,2,5,12,0,4,0,7,3,0,6,14,0
0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,13
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1,0,0,13,0,0,10,0,0,15,0,0,0,14,0,5
9,8,0,12,7,0,0,0,0,0,3,16,0,0,0,0
0,0,10,0,8,3,0,0,0,4,0,0,15,0,1,0
2,0,7,3,6,14,0,0,0,0,0,1,0,0,12,0
0,0,0,0,16,4,2,12,8,0,6,14,13,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,3,1,0,15,0,0,11,0,0,9,0,16,5,14
0,0,0,6,0,13,1,0,0,0,10,0,8,15,0,0

