16
0,1,0,0,3,0,0,5,14,0,0,0,0,0,16,0
0,3,5,0,0,0,15,2,0,0,10,13,0,0,7,0
0,0,16,0,0,0,10,0,7,0,5,0,0,0,4,14
0,0,4,0,8,9,13,0,0,0,6,16,10,0,0,0
0,0,13,3,0,0,6,0,2,5,14,0,16,0,0,0
4,0,0,5,0,0,0,13,12,0,15,11,0,0,10,1
0,0,0,0,1,8,9,0,0,0,0,0,0,12,0,0
15,0,10,9,0,0,0,0,8,6,0,0,0,0,3,0
16,5,7,11,0,3,0,0,0,0,1,0,0,15,0,12
0,10,0,12,0,0,0,11,13,8,0,0,2,16,14,0
0,6,0,0,0,0,0,14,0,10,4,0,7,0,0,9
0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,8
0,0,0,0,2,6,8,15,5,0,11,14,0,7,0,0
0,0,1,0,0,16,11,0,0,0,0,0,0,0,9,0
0,2,0,0,14,0,0,1,0,0,0,0,0,0,0,0
0,4,0,0,0,0,3,9,0,0,0,15,1,11,12,0

