25
0,4,11,0,0,0,0,0,0,6,0,0,7,1,0,0,0,25,3,22,17,16,15,0,12
10,3,9,16,8,0,20,1,0,0,0,0,25,0,12,24,18,5,0,11,0,2,23,7,0
0,0,0,0,0,13,2,0,0,0,14,23,4,10,3,0,0,19,8,0,0,0,21,0,9
14,0,2,24,0,0,0,17,0,0,15,0,0,0,0,0,0,0,1,12,0,4,0,0,19
7,0,0,0,0,0,4,23,0,0,2,0,11,18,0,0,14,6,15,0,0,5,24,0,0
23,20,0,0,21,0,0,18,22,25,0,0,24,0,14,0,0,0,5,0,7,8,0,0,0
0,11,0,5,15,10,13,4,0,20,3,2,12,0,19,25,0,18,0,1,0,0,17,0,14
1,25,0,13,0,0,0,0,0,0,6,0,0,0,8,0,0,16,0,0,3,0,0,4,0
17,0,0,0,22,16,0,0,9,0,0,0,1,0,15,8,23,10,0,20,11,0,0,0,0
6,0,24,0,0,0,14,0,0,11,0,0,0,21,9,12,0,0,13,0,0,0,0,0,0
0,0,12,0,19,0,0,0,0,0,25,0,0,14,0,21,0,0,20,15,0,10,0,1,8
21,0,0,0,2,9,0,0,19,8,17,18,0,16,0,0,0,0,22,0,13,0,0,23,0
0,0,0,0,0,21,0,0,5,23,19,0,2,0,20,0,16,14,0,0,0,0,0,3,7
20,0,17,9,0,0,0,0,0,14,0,5,8,0,4,0,0,12,23,0,0,0,0,0,0
5,0,0,0,0,12,25,0,0,0,0,3,9,0,22,0,1,0,0,10,14,21,18,2,16
0,5,0,0,6,0,0,21,17,0,0,0,0,19,0,1,0,22,0,3,0,0,4,10,0
0,0,0,0,4,0,0,0,0,0,10,0,16,23,5,0,0,0,19,0,25,0,0,0,15
24,0,0,0,25,0,0,0,0,0,0,0,15,0,0,14,0,0,9,0,0,0,0,0,0
0,0,22,0,20,0,0,0,0,1,0,0,0,0,13,5,0,8,0,6,24,0,0,0,0
15,0,10,12,9,0,0,13,8,16,4,0,0,11,24,0,0,0,17,0,0,3,0,0,1
0,0,0,0,0,0,24,0,0,10,0,0,0,8,0,6,0,21,0,14,9,0,0,18,0
19,0,25,0,0,0,5,0,13,17,11,0,0,0,0,0,0,0,0,0,6,0,0,12,0
0,0,20,1,11,0,18,0,7,9,0,0,3,0,0,0,8,0,10,13,5,24,25,0,21
22,13,3,21,0,0,1,12,0,0,0,16,0,0,0,4,2,0,11,25,23,0,14,0,0
0,10,0,8,24,4,15,0,6,0,0,0,14,0,0,17,0,0,0,23,0,1,22,20,13
